Stock Symbol,Company Name,Stock Exchange,Cpn Rate/Ann Amt,LiqPref/CallPrice,Call Date/Matur Date,Moodys/S&P Dated,Distribution Dates,15% Tax Rate,Parent Company,IPO,Total IPO Units,$ Per,Previous Ticker Symbol,Change Symbol Date,Market Value
BAC-O ,Bank of America Corp. 4.375% Depositary Shares Non-Cumul Preferred Stock Ser NN,NYSE,4.38%$1.09375 ,$25.00 $25.00 ,11/03/2025 None  ,Baa3BBB-5/05/2021,2/3 - 5/3 - 8/3 & 11/3Click ,YES,BAC,10/27/2020,44.00 Million Shares,$25/share.,BACPL,11/03/2020,$1.1 Billion
AFINO ,American Finance Trust,NGS,7.38%$1.84375 ,$25.00 $25.00 ,12/18/2025 None  ,NR NR 12/15/2020,1/15 - 4/15 - 7/15 & 10/15Cl,No,AFIN,12/14/2020,3.20 Million Shares,$25/share.,-,-,$80.0 Million
XOMAP ,XOMA Corp 8.625% Series A Cumulative Perpetual Preferred Stock,NGM,8.63%$2.15625 ,$25.00 $26.00 ,12/15/2021 None  ,NR NR 4/12/2021,1/15 - 4/15 - 7/15 & 10/15Cl,YES,XOMA,12/11/2020,"880,000 Shares",$25/share.,-,-,$22.0 Million
BAMH  ,Brookfield Finance Inc. 4.625% Subordinated Notes due 10/16/2080,NYSE,4.63%$1.15625 ,$25.00 $25.00 ,10/16/2025 10/16/2080  ,Baa3BBB10/08/2020,1/16 - 4/16 - 7/16 & 10/16Cl,No,BAM,10/8/2020,16.00 Million Notes,$25/note.,-,-,$400.0 Million
FULTP ,Fulton Financial Corp 5.125% Dep Shares Non-Cumul  Preferred Stock,NGS,5.13%$1.28125 ,$25.00 $25.00 ,1/15/2026 None  ,Baa3NF 10/23/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,FULT,10/22/2020,8.00 Million Shares,$25/share.,FULPP,11/03/2020,$200.0 Million
USB-Q ,U.S. Bancorp,NYSE,3.75%$0.9375 ,$25.00 $25.00 ,1/15/2026 None  ,A3BBB11/20/2020,1/15 - 4/15 - 7/15 & 10/15Cl,YES,USB,10/20/2020,20.00 Million Shares,$25/share.,UBKPL,10/30/2020,$500.0 Million
SBNYP ,Signature Bank 5.00% Non-cumulative Perpetual Series A Preferred Stock,NGS,5.00%$1.25 ,$25.00 $25.00 ,12/15/2025 None  ,Ba1NF 12/14/2020,3/30 - 6/30 - 9/30 & 12/30Cl,YES,SBNY,12/10/2020,28.00 Million Shares,$25/share.,SBNYL,12/17/2020,$700.0 Million
VNO-N ,Vornado Realty Trust 5.25% Series N Cumulative Redeemable Preferred Shares,NYSE,5.25%$1.3125 ,$25.00 $25.00 ,11/24/2025 None  ,Baa3BB+11/20/2020,1/1 - 4/1 - 7/1 & 10/1Click ,No,VNO,11/20/2020,12.00 Million Units,$25/unit.,VORTP,12/03/2020,$300.0 Million
PSA-O ,Public Storage,NYSE,3.90%$0.975 ,$25.00 $25.00 ,11/17/2025 None  ,A3BBB+11/09/2020,3/31 - 6/30 - 9/30 & 12/31Cl,No,PSA,11/9/2020,6.00 Million Shares,$25/share.,PSAOL,11/18/2020,$150.0 Million
BHFAN ,Brighthouse Financial,NGS,5.38%$1.34375 ,$25.00 $25.00 ,12/25/2025 None  ,Ba2BBB-11/10/2020,3/25 - 6/25 - 9/25 & 12/25Cl,YES,BHF,11/10/2020,20.00 Million Shares,$25.00/share.,BTHFL,11/23/2020,$500.0 Million
